[2019-06-20 09:31:07] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 6 [] []
[2019-06-20 09:31:07] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 09:31:07] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 4 [] []
[2019-06-20 09:31:07] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 09:31:10] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:31:10] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:38:53] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:38:53] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:42:45] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:42:45] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:43:11] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:43:11] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:45:22] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 09:45:22] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> membuka halaman [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_)jalan.php -> sel_daftar_surat_jalan : SELECT * FROM surat_jalan ORDER BY surat_jalan_id DESC [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 5 [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 5 [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 6 [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 4 [] []
[2019-06-20 11:17:24] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 13:19:25] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:19:25] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:19:46] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:19:46] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:20:15] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:20:15] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:21:12] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:21:12] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> membuka halaman [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_)jalan.php -> sel_daftar_surat_jalan : SELECT * FROM surat_jalan ORDER BY surat_jalan_id DESC [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 5 [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 5 [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 6 [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 4 [] []
[2019-06-20 13:21:23] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 13:21:41] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:21:41] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:22:14] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 13:22:14] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT sj.*, dp.* FROM surat_jalan_detail sj JOIN detail_pesanan dp ON dp.detail_pesanan_key = sj.surat_jalan_detail_pesanan_key WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190618/002' [] []
[2019-06-20 22:28:11] RabbitPrint.WARNING:  | | | proses_login.php -> cek user -> sql_user : SELECT * FROM s_user WHERE username LIKE 'superuser' AND password LIKE '21232f297a57a5a743894a0e4a801fc3' LIMIT 1 [] []
[2019-06-20 22:28:11] RabbitPrint.WARNING:  | | | proses_login.php -> id_user : 1 [] []
[2019-06-20 22:28:11] RabbitPrint.WARNING:  | | | proses_login.php -> insert ke s_login -> sql_login : INSERT INTO s_login (key_login, id_user, waktu_login, waktu_kadaluarsa, status, ip, pc_dan_browser) VALUES ('15610444917137', '1', '2019-06-20 22:28:11', '2019-06-21 22:28:11', '1', '::1', 'mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/74.0.3729.169 safari/537.36') [] []
[2019-06-20 22:28:11] RabbitPrint.WARNING:  | | | proses_login.php -> insert ke s_login -> SUCCESS [] []
[2019-06-20 22:28:11] RabbitPrint.WARNING:  | | | proses_login.php -> LOGIN SUKSES!! [] []
[2019-06-20 22:28:17] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> membuka halaman [] []
[2019-06-20 22:28:17] RabbitPrint.WARNING:  | | | daftar_surat_)jalan.php -> sel_daftar_surat_jalan : SELECT * FROM surat_jalan ORDER BY surat_jalan_id DESC [] []
[2019-06-20 22:28:17] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 5 [] []
[2019-06-20 22:28:17] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-06-20 22:28:17] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 5 [] []
